id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Column11,Column12
30476,Women,Apparel,Innerwear,Bra,Pink,Summer,2014,Casual,Lovable Women Encircle Pink Bra,,
17875,Men,Apparel,Innerwear,Innerwear Vests,Black,Summer,2016,Casual,Levis Men Comfort Style Black Innerwear Vest,,
54484,Men,Apparel,Innerwear,Briefs,Black,Summer,2016,Casual,Hanes Men Pack of Two Premium Bikini Briefs,,
28040,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Jockey ELANCE Men White Y-Front Hip Briefs 1006,,
43023,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Calvin Klein Men White Briefs,,
17864,Men,Apparel,Innerwear,Briefs,Black,Summer,2016,Casual,Levis Men Boxer Black Brief,,
50599,Men,Apparel,Innerwear,Briefs,Navy Blue,Summer,2016,Casual,Chromozome Men Navy Blue Briefs,,
51013,Women,Apparel,Innerwear,Bra,Blue,Summer,2017,Casual,Enamor Blue Bra,,
45632,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016,Casual,Park Avenue Men Grey Melange Briefs,,
47271,Men,Apparel,Innerwear,Boxers,Green,Summer,2016,Casual,FCUK Underwear Green Printed Boxers,,
28018,Men,Apparel,Innerwear,Briefs,Charcoal,Summer,2016,Casual,Jockey ELANCE Men Grey Pack of 2 Briefs 1004,,
42411,Men,Apparel,Innerwear,Briefs,Charcoal,Summer,2016,Casual,Basics Men Charcoal Hip Brief,,
57318,Women,Apparel,Innerwear,Bra,Black,Winter,2015,Casual,Amante Black Full-Coverage Lace Bra BCFR02,,
45641,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016,Casual,Park Avenue Men Grey Swank Briefs,,
50482,Men,Apparel,Innerwear,Briefs,Navy Blue,Summer,2016,Casual,Chromozome Men Navy Blue Briefs,,
19135,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,Lotto Men Riot Black Sandals,,
35591,Men,Footwear,Sandal,Sandals,Olive,Fall,2012,Casual,Gliders Men Olive Green Floaters,,
39285,Men,Footwear,Sandal,Sandals,Black,Summer,2018,Casual,Red Chief Men Black Sandals,,
19137,Men,Footwear,Sandal,Sandals,Brown,Fall,2011,Casual,Lotto Men Sting II Brown Sandals,,
11934,Men,Footwear,Sandal,Sandals,Black,Summer,2012,Casual,Ganuchi Men Casual Black Sandals,,
35586,Men,Footwear,Sandal,Sandals,Brown,Summer,2013,Casual,Gliders Men Brown Sandals,,
35647,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,U.S. Polo Assn. Men Brown Sandals,,
44553,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Coolers Men Brown Sandals,,
24686,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,Lee Cooper Men Classic Black Sandals,,
43959,Men,Footwear,Sandal,Sandals,Grey,Summer,2012,Casual,Puma Men Grey Sandals,,
25480,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Nike Men City Court VII White Sports Shoes,,
44407,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Force 10 Men White Sports Shoes,,
56407,Women,Footwear,Shoes,Flats,Brown,Winter,2012,Casual,Rocia Women Brown & Black Sandals,,
56878,Women,Footwear,Shoes,Heels,Silver,Winter,2012,Casual,HM Women Silver Heels,,
3672,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Fila Men's Speed Up Black Silver Shoe,,
5352,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Kalenji Dt. Newfeel Strap Black 09,,
45333,Women,Footwear,Shoes,Heels,Green,Summer,2016,Casual,Cobblerz Women Green Sandals,,
6347,Unisex,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2011,Casual,Converse Unisex Four Stitch Hi Navy Shoe,,
30248,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Numero Uno Men Black Shoes,,
11815,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013,Casual,Playboy Men Casual Black Casual Shoes,,
31552,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2016,Casual,Woodland Men Black Casual Shoes,,
4137,Women,Footwear,Shoes,Casual Shoes,White,Winter,2015,Casual,Skechers Women Silver Pink White Shoe,,
16152,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Enroute Men Leather Brown Formal Shoes,,
47452,Women,Footwear,Shoes,Flats,Black,Summer,2012,Casual,Tiptopp Women Black Sandals,,
39302,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Chief Men Brown Casual Shoes,,
15414,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,FILA Men FILA Ace White Sports Shoes,,
50726,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2018,Formal,Red Chief Men Brown Formal Shoes,,
7842,Women,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Puma Women Osu NM Black Purple Shoe,,
8980,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Puma Men Evo Ducati Mid Black Casual Shoes,,
2869,Men,Footwear,Shoes,Casual Shoes,White,Fall,2009,Casual,iD Men's Denim White Graphic Shoe,,
11498,Women,Footwear,Shoes,Heels,White,Winter,2015,Casual,Catwalk Women Lifestyle White Heels,,
15226,Men,Footwear,Shoes,Casual Shoes,Tan,Fall,2011,Casual,ADIDAS Originals Men ZX 8000 Tan Casual Shoes,,
39889,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men Desma White Sports Shoes,,
40485,Women,Footwear,Shoes,Sports Shoes,Grey,Fall,2012,Sports,Fila Women Grey Speed Lite Sports Shoes,,
7363,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018,Formal,Red Tape Men Black Semi Formal Shoes,,
15544,Women,Footwear,Shoes,Heels,Black,Winter,2015,Casual,Catwalk Women Casual Black Heels,,
26697,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men White Sweet Classic Leather Shoes,,
6681,Women,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,Nike Women's Izanami White Blue Shoe,,
13474,Women,Footwear,Shoes,Flats,Gold,Fall,2011,Casual,Rocia Women Gold Toned Flats,,
42274,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Vans Unisex Black Era Shoes,,
59048,Women,Footwear,Shoes,Heels,Orange,Winter,2012,Casual,Carlton London Women Beige Heels,,
12985,Men,Footwear,Shoes,Casual Shoes,Olive,Fall,2010,Casual,Fila Men Mountainaire Olive Casual Shoes,,
30690,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Brown Flats,,
35472,Women,Footwear,Shoes,Heels,Gold,Winter,2015,Casual,Catwalk Women Gold Sandals,,
13367,Women,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Timberland Women Femmes Brown Casual Shoes,,
14376,Women,Footwear,Shoes,Flats,Black,Winter,2015,Casual,Catwalk Women Black Ballerinas,,
5472,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,Nike Men's Zoom Vomero White Shoe,,
7876,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2011,Formal,Provogue Men's Formal Black Shoe,,
12871,Men,Footwear,Shoes,Formal Shoes,Black,Spring,2012,Formal,Lee Cooper Men Formal Black Shoes,,
50744,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018,Casual,Red Chief Men Black Formal Shoes,,
4506,Men,Footwear,Shoes,Casual Shoes,Grey,Winter,2015,Casual,Skechers Men's Arcade Midway Charcoal Shoe,,
17814,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Lee Cooper Men  Black Casual Shoe,,
10294,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2012,Formal,Clarks Men Feeling Good Leather Brown Formal Shoes,,
47279,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2013,Formal,Franco Leone Men Brown Formal Shoes,,
39612,Women,Footwear,Shoes,Heels,Silver,Winter,2015,Casual,Catwalk Women Silver Heels,,
49578,Women,Footwear,Shoes,Heels,Black,Winter,2015,Casual,Catwalk Women Black Catwalk Flats,,
35564,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013,Casual,Arrow Men Black Shoes,,
11957,Men,Footwear,Shoes,Casual Shoes,Tan,Summer,2012,Casual,Ganuchi Men Casual Tan Casual Shoes,,
21577,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018,Casual,Red Tape Men Black Leather Formal Shoes,,
33107,Women,Footwear,Shoes,Heels,Pink,Winter,2015,Casual,Catwalk Women Pink Flats,,
35694,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012,Casual,Nike Men Dunk Low Blue Shoes,,
12992,Unisex,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,ADIDAS Kids Unisex HyperRun Silver Sports Shoes,,
49612,Women,Footwear,Shoes,Heels,Yellow,Winter,2015,Casual,Catwalk Women Yellow  Flats,,
50154,Women,Footwear,Shoes,Heels,Beige,Winter,2012,Casual,Rocia Women Beige Leopard Print Heels,,
7039,Men,Footwear,Shoes,Casual Shoes,White,Summer,2011,Casual,Numero Uno Men's White Light Shoe,,
59013,Men,Footwear,Shoes,Sports Shoes,Navy Blue,Summer,2012,Casual,Skechers Men Navy Blue Sports Shoes,,
41683,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Catwalk Women Brown Heels,,
58200,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Sports,Puma Men Black Sports Shoes,,
59330,Unisex,Footwear,Shoes,Casual Shoes,Brown,Summer,2012,Casual,Gliders Unisex Brown Shoes,,
56935,Women,Footwear,Shoes,Heels,Blue,Winter,2012,Casual,HM Women Blue Flats,,
3643,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2011,Casual,Fila Men's Maverick Low Navy Green Canvas Shoe,,
15377,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012,Casual,Fila Men Lobato Navy Blue Casual Shoes,,
17696,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Vans Men Rata Vulc Black Casual Shoes,,
35341,Women,Footwear,Shoes,Heels,Brown,Summer,2012,Casual,Senorita Women Brown Heels,,
4508,Women,Footwear,Shoes,Sports Shoes,Blue,Summer,2011,Sports,Lotto Women Bilbao Blue White Shoe,,
22815,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012,Casual,Woodland Men Brown Casual Shoes,,
50750,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2018,Casual,Red Chief Men Brown Shoes,,
3591,Unisex,Footwear,Shoes,Casual Shoes,Yellow,Summer,2012,Casual,Converse Unisex CT Stitch Print HI Yellow Canvas Shoe,,
57525,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012,Casual,Provogue Men Brown Casual Shoes,,
4102,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,Puma Men White Shoe,,
49305,Men,Accessories,Socks,Socks,Black,Summer,2016,Casual,Arrow Men Pack Of 5 Basic Plating Socks,,
29109,Women,Accessories,Socks,Socks,Purple,Summer,2012,Casual,Puma Women Pack of 2 Purple Socks,,
36397,Men,Accessories,Socks,Socks,Blue,Summer,2016,Casual,Reid & Taylor Men Blue Socks,,
53282,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Locomotive Men Blue T-shirt,,
15976,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Turtle Solid Men Purple Shirt,,
16130,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Tokyo Talkies Women Printed Pink Top,,
38594,Women,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Nike Women White Scoop T-shirt,,
3131,Men,Apparel,Topwear,Tshirts,Brown,Fall,2010,Casual,DUSG Men's Periyar Cotton Melange T-shirt,,
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,2011,Casual,United Colors of Benetton Men Olive Tshirts,,
31386,Men,Apparel,Topwear,Tshirts,Khaki,Summer,2012,Casual,Locomotive Men Khaki T-shirt,,
1538,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men Ferrari Track Black T-shirt,,
6160,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Lee Men's Striper Black White T-shirt,,
29664,Men,Apparel,Topwear,Shirts,White,Summer,2012,Casual,Indigo Nation Men White Shirt,,
7440,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,Proline Men Navy Polo T-shirt,,
10513,Women,Apparel,Topwear,Tunics,White,Fall,2011,Casual,Flying Machine Women RN HS Tunic Top,,
6575,Men,Apparel,Topwear,Tshirts,Red,Winter,2011,Casual,Inkfruit Men's Baby Tomato Red T-shirt,,
3538,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Myntra Mens Octopus Black T-shirt,,
7908,Men,Apparel,Topwear,Tshirts,Cream,Fall,2012,Casual,Proline Men Cream & Purple Striped Polo T-shirt,,
12381,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Reid & Taylor Men Checks Blue Shirts,,
10598,Women,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Flying Machine Women HS Blue Denim Shirt,,
20179,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Wrangler Men Rodeo Green Shirt,,
39170,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Aneri Women Black Kurta,,
2936,Women,Apparel,Topwear,Tshirts,Maroon,Fall,2010,Casual,DUSG Women's Red Polo T-shirt,,
2048,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,ADIDAS Men's Crew Black T-shirt,,
52056,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Myntra Men Purple T-shirt,,
18576,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Puma Men Riddim Red Tshirt,,
30626,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Nike Men Kobe Old Master Black T-shirt,,
40626,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012,Ethnic,Span Women Pink Kurta,,
14580,Men,Apparel,Topwear,Shirts,Grey,Summer,2011,Casual,United Colors of Benetton Men Solid DK.Grey Shirts,,
34583,Women,Apparel,Topwear,Tops,Peach,Summer,2012,Casual,Tonga Women Peach-Coloured Top,,
41791,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Remanika Women Black Top,,
32505,Men,Apparel,Topwear,Shirts,Black,Summer,2012,Casual,Scullers Men Black Shirt,,
28569,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Men Verbiage Purple T-shirt,,
11785,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Lee Women Solid Black Tshirts,,
10711,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Nike Women White Casual T-shirt,,
13504,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Chimp Men Kutta Pyjama White Tshirts,,
34029,Boys,Apparel,Topwear,Shirts,Black,Summer,2012,Casual,Palm Tree Boys Check Black Shirt,,
40571,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Beige Kurta,,
48430,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,French Connection Men White Printed T-shirt,,
6300,Women,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,UCB Women's Epaulettes Sleeve Green T-shirt,,
39862,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Gini and Jony Boys Polo Black T-Shirt,,
30334,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Myntra Men Your Idea Sucks Black T-shirt,,
6766,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Timberland Men's Eclectic Red T-shirt,,
2133,Men,Apparel,Topwear,Shirts,Black,Spring,2011,Casual,Basics Men Black Slim Fit Shirt,,
16821,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,Little Miss Women Printed Purple T-shirt,,
5755,Women,Apparel,Topwear,Tops,Pink,Summer,2011,Casual,Jealous 21 Women Pink Graphic Top,,
15031,Women,Apparel,Topwear,Sweaters,Pink,Fall,2011,Casual,ADIDAS Women Stripes Pink Sweaters,,
9662,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Indigo Nation Men Reversible Bling Blue Shirts,,
48078,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,French Connection Men Blue T-shirt,,
23195,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Highlander Men Green Striped Shirt,,
4766,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Sports,ADIDAS Men's Barr White T-shirt,,
15045,Boys,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,ADIDAS Kids Boys Printed Black Tshirts,,
2282,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Sports,Nike Men Grey T-shirt,,
37166,Women,Apparel,Topwear,Tops,Red,Summer,2012,Casual,United Colors of Benetton Women Red Top,,
43307,Women,Apparel,Topwear,Shirts,White,Summer,2012,Casual,United Colors of Benetton Women White Shirt,,
47027,Women,Apparel,Topwear,Kurtas,Purple,Fall,2012,Ethnic,Shree Women Blue Printed Kurta,,
26725,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Puma Men Large Logo Graphic Black T-shirt,,
38961,Boys,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Gini and Jony Boys Printed Grey T-shirt,,
42552,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,Mother Earth Women Beige & Black Kurta,,
8810,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Scullers Men White Check Shirt,,
19703,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors of Benetton Men Stripes Black Shirt,,
12123,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011,Ethnic,Aurelia Women Printed Brown Kurtas,,
7980,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Fila Men's Crew Neck Black Grey T-shirt,,
18623,Men,Apparel,Topwear,Sweaters,Blue,Fall,2011,Casual,Puma Men Lifestyle Knitted Dark Denim Sweaters,,
12209,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Basics Men White T-shirt,,
40398,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Tonga Women Green Printed Top,,
21122,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011,Casual,s.Oliver Men Check Maroon Shirt,,
31453,Women,Apparel,Topwear,Tshirts,Black,Summer,2012,Sports,Nike Women Tennis Black T-shirt,,
44813,Women,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,Spykar Women Navy Blue T-Shirt,,
18639,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Puma Men V.11 Cat Midnight Navy Tshirts,,
16006,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Turtle Stripes Men Green TShirt,,
15964,Men,Apparel,Topwear,Jackets,Khaki,Fall,2011,Casual,Turtle Solid Men Khaki Jacket,,
11472,Women,Apparel,Topwear,Tops,Blue,Fall,2011,Casual,United Colors of Benetton Women Blue Winter Printed Top,,
53413,Women,Apparel,Topwear,Kurtas,Red,Fall,2012,Ethnic,Alma Women Red Kurta,,
21900,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011,Ethnic,BIBA Women Printed Blue Kurta,,
54936,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012,Casual,Do u speak green Women Yellow T-shirt,,
3844,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,Wrangler Men's Wild Horse Golden Yellow T-shirt,,
22581,Women,Apparel,Topwear,Sweatshirts,Purple,Fall,2011,Sports,Nike Women Solid Purple Sweatshirt,,
18938,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,Levi's Men Graphic Print Purple Tshirt,,
34163,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls White Top,,
50334,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Aurelia Women Red Kurta,,
14738,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Formal,Arrow Men Check Grey Shirts,,
37185,Women,Apparel,Topwear,Tops,Lime Green,Summer,2012,Casual,United Colors of Benetton Women Lime Green Top,,
9553,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Nike Men As Ad Badge Black T-Shirts,,
6909,Women,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Tantra Women's Page 03 Grey T-shirt,,
29027,Men,Apparel,Topwear,Tshirts,Red,Summer,2012,Casual,ADIDAS Men Chicago Bulls Red T-shirt,,
34193,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,Proline Men Striped Navy Blue Polo T-Shirt,,
2349,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Reebok Men Truth or Dare Red T-shirt,,
25406,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Sports,Nike Men White T-shirt,,
19202,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,United Colors of Benetton Men Striped White Shirt,,
26471,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,Puma Men Classic Graphic  Navy Blue T-shirt,,
19427,Men,Apparel,Topwear,Shirts,Beige,Summer,2012,Casual,Quiksilver Men Beige Shirt,,
9833,Women,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Little Miss Women Printed Olive Green T-shirt,,
16501,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011,Casual,Locomotive Men Printed Brown TShirt,,
21172,Women,Apparel,Topwear,Tunics,Blue,Fall,2011,Casual,s.Oliver Women Powder Blue Tunic,,
34225,Men,Apparel,Topwear,Tshirts,Cream,Summer,2013,Casual,Proline Men Cream-Coloured T-shirt,,
32647,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2012,Sports,Nike Kids Boys Contemporary Athlete Blue T-shirt,,
9826,Women,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Little Miss Women Printed Green T-shirt,,
45752,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Folklore Women Green Kurta,,
23225,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011,Ethnic,Aneri Women Tibett Pink Kurta,,
10805,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Wrangler Men Rider Solid Black Shirts,,
15046,Boys,Apparel,Topwear,Sweatshirts,Red,Fall,2011,Casual,ADIDAS Kids Boys Solid Red Sweatshirts,,
37141,Men,Apparel,Topwear,Shirts,Grey,Summer,2012,Casual,Wills Lifestyle Men Stripes Grey Shirt,,
38345,Boys,Apparel,Topwear,Tshirts,Off White,Summer,2012,Casual,Superman Boys Off White & Navy Blue T-shirt,,
11073,Men,Apparel,Topwear,Sweaters,Black,Fall,2011,Casual,Scullers Men Stripes Black Sweaters,,
14951,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2011,Casual,Status Quo Men Stripes Maroon Tshirts,,
34441,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012,Casual,Myntra Women Peace Love Chocolate Yellow T-shirt,,
24873,Boys,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,United Colors of Benetton Kids Boys White Striped T-shirt,,
19818,Men,Apparel,Topwear,Sweatshirts,Green,Fall,2011,Casual,U.S. Polo Assn. Men Solid Green Sweatshirt,,
10862,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Wrangler Men Dirt Riders Yellow T-Shirts,,
9333,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Puma Women Edition White Tops,,
2241,Men,Apparel,Topwear,Tshirts,Green,Fall,2010,Sports,ADIDAS Men Green T-shirt,,
53211,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Formal,Mark Taylor Men Blue Shirt,,
31088,Men,Apparel,Topwear,Shirts,Purple,Summer,2012,Formal,John Miller Men Check Purple Shirt,,
3411,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Myntra Women's Work Hard/ Smart T-shirt,,
4318,Men,Apparel,Topwear,Tshirts,Orange,Summer,2011,Casual,Tantra Kid's Men Kya Boss Orange Kidswear,,
9140,Women,Apparel,Topwear,Tunics,Magenta,Fall,2011,Casual,Scullers For Her Women Viscose Tunics Magenta Tunics,,
15041,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Casual,ADIDAS Men Printed Grey Sweatshirts,,
24094,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Manchester United Men Red Striped T-shirt,,
24335,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,ADIDAS Men Grey T-shirt,,
